date,command,MAP,date_error,data_error,tape,file,phy_record,log_record,station
1970-04-29T15:25:32.727000Z,4,1,-,-,1,64,24,70,12
1970-04-29T15:26:32.498000Z,4,1,-,-,1,64,24,69,12
1970-04-30T15:01:02.717000Z,4,1,-,-,1,65,15,65,12
1970-04-30T15:02:02.488000Z,4,1,-,-,1,65,15,64,12
1970-05-01T08:23:28.023000Z,4,1,-,-,1,65,399,6,12
1970-05-01T08:24:13.304000Z,4,1,-,-,1,65,399,81,12
1970-05-01T19:55:02.445000Z,4,1,-,-,1,66,123,65,12
1970-05-01T19:56:02.820000Z,4,1,-,-,1,66,124,95,12
1970-05-02T15:25:02.660000Z,4,1,-,-,1,67,24,20,12
1970-05-02T15:26:03.035000Z,4,1,-,-,1,67,24,20,12
1970-05-03T15:26:52.535000Z,4,1,-,-,1,68,25,32,12
1970-05-03T15:27:52.909000Z,4,1,-,-,1,68,25,32,12
1970-05-05T15:28:22.485000Z,4,1,-,-,1,70,25,81,12
1970-05-05T15:29:02.937000Z,4,1,-,-,1,70,25,48,12
1970-05-07T15:25:32.811000Z,4,1,-,-,1,72,24,10,12
1970-05-07T15:26:32.582000Z,4,1,-,-,1,72,25,39,12
1970-05-09T05:33:48.765000Z,4,0,-,-,1,73,337,50,12
1970-05-09T15:29:28.242000Z,4,1,-,-,1,74,26,62,12
1970-05-09T15:30:23.183000Z,4,1,-,-,1,74,26,53,12
1970-05-11T15:26:33.112000Z,4,1,-,-,1,76,24,70,12
1970-05-11T15:27:33.487000Z,4,1,-,-,1,76,25,0,12
1970-05-13T15:25:18.782000Z,4,1,-,-,2,2,24,47,12
1970-05-13T15:26:17.950000Z,4,1,-,-,2,2,24,45,12
1970-05-15T16:16:43.257000Z,4,1,-,-,2,4,43,52,12
1970-05-15T16:17:43.632000Z,4,1,-,-,2,4,43,52,12
1970-05-16T12:36:38.223000Z,4,1,-,-,2,4,493,52,12
1970-05-16T12:39:27.877000Z,4,1,-,-,2,4,494,63,12
1970-05-17T01:20:02.949000Z,4,1,-,-,2,5,243,54,12
1970-05-17T01:21:02.720000Z,4,1,-,-,2,5,244,83,12
1970-05-17T20:54:27.808000Z,4,1,-,-,2,6,145,47,12
1970-05-18T15:24:28.336000Z,4,1,-,-,2,7,24,63,12
1970-05-18T15:26:23.049000Z,4,1,-,-,2,7,24,53,12
1970-05-19T15:28:23.526000Z,4,1,-,-,2,8,25,84,12
1970-05-19T15:29:23.299000Z,4,1,-,-,2,8,26,13,12
1970-05-20T15:24:33.427000Z,4,1,-,-,2,9,24,72,12
1970-05-20T15:26:28.140000Z,4,1,-,-,2,9,24,62,12
1970-05-21T15:25:22.955000Z,4,1,-,-,2,10,24,54,12
